RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15000150,Cust00150,437,Germany,Female,38,1,127423.15,4,1,1,181.02,1
15000151,Cust00151,665,France,Male,40,7,123793.64,1,0,0,33.09,1
15000152,Cust00152,610,France,Male,44,9,96986.78,1,0,0,74.3,0
15000153,Cust00153,603,France,Male,44,9,216782.96,1,0,0,179.95,0
15000154,Cust00154,567,Germany,Male,42,10,127480.82,2,0,0,69.92,0
15000155,Cust00155,616,Germany,Female,38,0,46385.24,1,0,0,155.1,0
15000156,Cust00156,556,Spain,Male,47,7,59267.75,1,1,0,166.22,0
15000157,Cust00157,742,France,Male,33,10,99392.63,2,1,0,54.33,1
15000158,Cust00158,830,France,Female,48,6,101632.96,2,1,1,132.18,1
15000159,Cust00159,666,France,Male,29,1,0.0,1,1,1,45.32,0
15000160,Cust00160,644,Spain,Female,47,8,116570.67,2,0,0,86.76,0
15000161,Cust00161,630,Spain,Male,41,6,6219.68,2,0,1,106.61,0
15000162,Cust00162,719,France,Female,38,1,82782.48,1,1,1,175.83,0
15000163,Cust00163,674,France,Female,43,1,89880.81,1,0,0,144.67,0
15000164,Cust00164,600,Spain,Female,25,2,174777.57,2,1,0,125.67,0
15000165,Cust00165,850,Germany,Female,27,0,68201.21,3,1,1,197.13,1
15000166,Cust00166,609,Spain,Male,43,10,66203.51,2,0,1,86.41,0
15000167,Cust00167,627,France,Female,26,9,0.0,1,1,0,112.57,0
15000168,Cust00168,810,Spain,Female,44,0,55181.35,1,1,1,76.57,0
15000169,Cust00169,649,France,Male,35,9,0.0,2,0,0,37.62,0
15000170,Cust00170,716,Germany,Male,23,8,61682.06,1,1,1,90.18,0
15000171,Cust00171,552,France,Female,58,9,145847.03,2,0,0,13.47,1
15000172,Cust00172,543,Spain,Male,43,4,59328.9,1,1,1,192.64,0
15000173,Cust00173,574,France,Male,66,8,79671.54,1,1,0,23.68,1
15000174,Cust00174,597,Spain,Female,45,8,40432.96,2,0,0,180.73,0
15000175,Cust00175,783,Spain,Male,37,3,42307.66,1,0,0,117.75,0
15000176,Cust00176,450,France,Male,18,0,153257.28,2,1,0,94.3,1
15000177,Cust00177,635,Spain,Male,34,8,52970.67,2,1,0,173.88,0
15000178,Cust00178,818,Spain,Female,43,0,7144.3,2,0,1,62.17,0
15000179,Cust00179,582,Spain,Female,48,4,154836.42,1,0,1,16.12,1
15000180,Cust00180,696,Germany,Female,29,5,43479.74,1,0,0,137.99,0
15000181,Cust00181,728,France,Male,24,6,120205.9,2,1,0,29.79,0
15000182,Cust00182,761,France,Male,27,8,53620.1,2,1,1,172.73,0
15000183,Cust00183,489,Germany,Male,26,3,114188.01,1,1,0,66.4,1
15000184,Cust00184,750,France,Male,57,2,43591.17,3,1,1,179.71,0
15000185,Cust00185,722,Germany,Female,30,10,0.0,3,1,1,122.57,1
15000186,Cust00186,812,France,Female,22,10,0.0,1,1,0,88.38,0
15000187,Cust00187,743,France,Female,40,7,70003.79,1,1,1,155.32,1
15000188,Cust00188,644,Germany,Male,37,9,53456.04,2,1,1,162.17,0
15000189,Cust00189,590,Germany,Male,41,7,0.0,3,0,1,130.73,0
15000190,Cust00190,683,Spain,Male,33,7,77142.9,1,1,0,168.8,0
15000191,Cust00191,493,France,Male,32,7,27745.11,4,0,1,14.48,0
15000192,Cust00192,695,France,Female,44,5,139807.65,2,0,1,115.74,1
15000193,Cust00193,553,France,Female,40,4,136926.84,1,0,1,124.5,1
15000194,Cust00194,527,Spain,Female,43,4,0.0,3,1,0,183.82,0
15000195,Cust00195,616,Germany,Female,31,8,77617.65,1,1,0,42.43,0
15000196,Cust00196,514,Germany,Male,40,10,38085.9,2,1,0,125.0,0
15000197,Cust00197,705,France,Male,27,5,0.0,3,1,0,146.9,1
15000198,Cust00198,667,France,Male,18,4,106585.71,2,0,0,100.97,0
15000199,Cust00199,708,Germany,Male,28,9,119419.21,1,0,0,16.89,0
15000200,Cust00200,640,Germany,Male,21,7,234725.24,1,1,0,20.72,0
15000201,Cust00201,667,Spain,Female,50,3,32403.06,2,1,1,31.15,0
15000202,Cust00202,823,France,Female,34,7,37128.04,2,1,1,104.65,0
15000203,Cust00203,545,Germany,Male,45,4,41127.06,1,1,1,162.09,0
15000204,Cust00204,626,France,Male,48,4,30917.5,1,0,1,122.55,0
15000205,Cust00205,752,Spain,Female,37,1,114481.67,3,0,1,45.99,0
15000206,Cust00206,753,Germany,Female,39,0,110707.01,1,1,0,149.39,0
15000207,Cust00207,503,France,Male,47,0,104469.16,1,0,1,58.19,0
15000208,Cust00208,669,France,Female,37,7,102636.33,2,0,1,197.67,0
15000209,Cust00209,692,France,Male,40,0,0.0,1,0,1,184.03,1
15000210,Cust00210,715,France,Female,35,1,73547.58,1,1,1,194.53,1
15000211,Cust00211,515,Germany,Female,38,9,77844.88,2,0,0,71.31,1
15000212,Cust00212,604,France,Female,43,3,89772.29,2,0,0,33.79,0
15000213,Cust00213,689,France,Male,51,6,20534.35,2,0,1,23.35,0
15000214,Cust00214,507,France,Male,18,5,139974.36,2,1,0,160.45,0
15000215,Cust00215,718,Spain,Female,40,2,131157.11,1,1,0,55.03,0
15000216,Cust00216,785,Spain,Female,38,10,43928.12,1,0,0,161.97,0
15000217,Cust00217,488,Germany,Male,63,4,53504.01,1,0,0,176.12,1
15000218,Cust00218,622,France,Female,18,8,49948.42,2,0,0,150.4,0
15000219,Cust00219,464,Germany,Male,23,10,19043.58,1,0,1,67.0,0
15000220,Cust00220,629,France,Female,24,6,137027.99,1,0,1,139.45,0
15000221,Cust00221,762,France,Female,37,1,117838.81,2,0,1,126.93,0
15000222,Cust00222,599,Germany,Female,55,5,36460.12,1,1,1,107.9,0
15000223,Cust00223,602,Spain,Female,31,2,41560.42,2,1,1,158.34,1
15000224,Cust00224,595,Germany,Female,36,9,164071.26,4,1,0,194.16,1
15000225,Cust00225,582,Spain,Female,28,8,105227.76,2,0,0,165.19,1
15000226,Cust00226,822,Spain,Female,30,0,171945.32,1,0,1,112.49,0
15000227,Cust00227,702,Germany,Male,31,9,51962.5,1,1,1,178.97,0
15000228,Cust00228,573,Germany,Male,49,8,65029.27,1,1,1,115.11,1
15000229,Cust00229,569,France,Male,22,7,30682.34,2,0,1,147.73,0
15000230,Cust00230,671,Spain,Male,37,9,43908.1,1,1,0,52.61,1
15000231,Cust00231,765,Germany,Female,37,2,149680.38,2,1,0,101.83,0
15000232,Cust00232,827,Germany,Female,41,10,118277.27,1,0,1,76.74,0
15000233,Cust00233,739,Germany,Male,44,5,53723.89,2,0,0,161.71,0
15000234,Cust00234,698,France,Female,42,0,126869.9,1,1,1,174.92,0
15000235,Cust00235,587,Spain,Male,49,1,148496.33,1,1,1,127.92,0
15000236,Cust00236,664,Germany,Male,43,2,65638.68,4,0,1,177.48,0
15000237,Cust00237,690,Spain,Male,51,8,25349.99,2,0,0,41.38,0
15000238,Cust00238,654,Germany,Male,42,1,87848.14,2,1,0,106.91,1
15000239,Cust00239,793,Germany,Male,23,5,122267.72,3,1,0,130.83,1
15000240,Cust00240,801,Spain,Female,40,2,91461.79,2,0,0,31.22,0
15000241,Cust00241,666,Spain,Male,36,10,93299.33,2,1,0,130.57,0
15000242,Cust00242,551,France,Male,42,10,142565.17,2,1,0,23.82,0
15000243,Cust00243,603,France,Male,39,7,32592.51,2,1,1,76.37,0
15000244,Cust00244,686,Germany,Female,39,4,41346.85,2,0,0,175.72,0
15000245,Cust00245,486,France,Male,55,5,71923.48,2,1,1,140.14,0
15000246,Cust00246,438,Germany,Female,33,2,0.0,2,0,1,199.46,0
15000247,Cust00247,757,France,Female,42,3,44872.64,1,0,1,142.11,0
15000248,Cust00248,640,Germany,Female,52,3,116312.47,3,0,1,62.65,0
15000249,Cust00249,736,Spain,Male,58,2,9654.74,2,1,1,86.15,0
15000250,Cust00250,788,France,Male,35,6,0.0,2,0,0,54.46,0
15000251,Cust00251,675,France,Female,37,7,145272.34,2,1,1,193.99,0
15000252,Cust00252,692,Germany,Female,35,2,111325.57,2,1,1,157.78,0
15000253,Cust00253,769,France,Male,45,5,158407.46,2,0,1,35.81,0
15000254,Cust00254,822,Germany,Female,43,9,34063.68,2,0,0,102.01,0
15000255,Cust00255,497,France,Female,37,8,0.0,3,0,0,23.14,0
15000256,Cust00256,468,France,Male,44,0,48336.63,1,1,1,161.74,0
15000257,Cust00257,748,France,Male,33,5,0.0,3,1,0,124.4,1
15000258,Cust00258,645,Spain,Female,25,9,16047.48,1,1,1,173.56,0
15000259,Cust00259,700,France,Female,37,10,4181.39,1,1,1,127.83,0
15000260,Cust00260,453,Spain,Male,57,9,88919.73,2,0,0,12.85,0
15000261,Cust00261,632,France,Female,35,2,33716.98,2,0,0,17.28,0
15000262,Cust00262,711,Spain,Male,29,0,187456.56,1,1,0,36.08,0
15000263,Cust00263,676,France,Female,31,0,111500.13,2,0,1,42.65,0
15000264,Cust00264,587,France,Female,29,5,79697.08,3,1,1,144.52,0
15000265,Cust00265,594,Spain,Female,45,9,100396.09,2,0,1,145.96,0
15000266,Cust00266,668,France,Female,49,4,157678.43,2,1,1,165.0,0
15000267,Cust00267,614,Spain,Female,60,4,33270.36,1,1,1,110.49,0
15000268,Cust00268,603,Germany,Male,40,4,35612.08,1,0,1,22.41,0
15000269,Cust00269,550,Spain,Female,34,3,102298.29,1,1,1,195.44,0
15000270,Cust00270,850,Spain,Male,32,3,74490.02,1,0,0,160.25,1
15000271,Cust00271,541,France,Female,57,1,103052.07,2,0,0,54.18,0
15000272,Cust00272,489,Germany,Male,44,6,60042.65,2,1,1,139.56,0
15000273,Cust00273,471,Germany,Female,42,5,116126.15,1,0,0,151.37,0
15000274,Cust00274,750,France,Male,28,2,89916.01,1,0,0,81.13,0
15000275,Cust00275,493,France,Female,56,2,47549.18,3,1,0,102.98,1
15000276,Cust00276,782,Spain,Male,31,5,167545.5,1,1,0,122.95,0
15000277,Cust00277,681,France,Male,31,1,100539.82,1,1,1,146.29,0
15000278,Cust00278,614,France,Female,34,4,109703.21,2,0,0,104.04,0
15000279,Cust00279,539,Spain,Female,46,6,0.0,2,0,1,78.9,0
15000280,Cust00280,761,France,Male,41,7,0.0,1,0,0,84.91,1
15000281,Cust00281,500,France,Female,32,5,97483.24,1,0,1,194.3,0
15000282,Cust00282,526,Spain,Male,35,10,80762.96,1,1,0,24.89,0
15000283,Cust00283,712,Spain,Female,48,1,45387.09,2,1,1,92.44,0
15000284,Cust00284,616,France,Male,22,7,54383.57,1,1,1,144.58,0
15000285,Cust00285,684,Germany,Male,34,3,204758.37,2,0,1,170.55,0
15000286,Cust00286,631,France,Male,52,0,59939.39,2,0,0,175.1,1
15000287,Cust00287,637,Germany,Female,37,1,73692.22,2,1,0,111.39,0
15000288,Cust00288,458,France,Male,26,7,80875.38,1,1,1,187.5,0
15000289,Cust00289,448,Spain,Female,48,0,97482.29,1,0,0,96.95,0
15000290,Cust00290,550,France,Female,70,1,144707.33,2,0,0,137.04,0
15000291,Cust00291,676,France,Female,44,6,10688.24,1,0,1,194.31,0
15000292,Cust00292,670,Germany,Female,30,6,64177.69,1,0,1,94.87,1
15000293,Cust00293,647,Germany,Female,47,8,106732.28,1,0,0,189.53,0
15000294,Cust00294,750,Germany,Female,60,10,88468.14,2,1,1,127.77,0
15000295,Cust00295,545,France,Female,50,2,149595.88,1,0,0,51.76,0
15000296,Cust00296,577,France,Male,55,3,94763.4,1,0,0,134.08,0
15000297,Cust00297,682,Spain,Male,37,3,96383.27,2,1,1,175.57,0
15000298,Cust00298,742,France,Male,53,2,60862.29,2,1,0,150.57,0
15000299,Cust00299,719,Spain,Female,51,9,0.0,2,1,0,163.68,1
15000300,Cust00300,662,France,Male,44,6,66696.55,1,0,0,93.33,0
15000301,Cust00301,527,France,Female,36,0,76965.9,4,1,1,72.35,0
15000302,Cust00302,443,France,Female,19,6,14533.67,1,1,0,142.44,0
15000303,Cust00303,666,France,Male,30,7,0.0,3,1,1,53.95,0
15000304,Cust00304,850,France,Male,30,4,33334.68,1,0,1,137.29,0
15000305,Cust00305,606,France,Male,48,0,55860.45,1,0,0,109.11,1
15000306,Cust00306,492,Germany,Male,37,7,0.0,1,1,1,75.5,0
15000307,Cust00307,715,France,Male,49,1,227264.65,2,1,0,125.89,0
15000308,Cust00308,676,Spain,Female,44,3,123053.57,2,1,1,146.73,0
15000309,Cust00309,631,Spain,Female,39,4,72119.23,1,1,1,22.39,1
15000310,Cust00310,640,Germany,Female,44,5,0.0,3,1,1,30.17,1
15000311,Cust00311,466,Spain,Male,27,2,7577.46,1,1,1,162.77,0
15000312,Cust00312,740,France,Female,42,9,14643.06,2,1,1,126.35,0
15000313,Cust00313,556,Germany,Female,27,7,62072.74,1,1,0,45.24,1
15000314,Cust00314,680,Spain,Male,44,8,38715.21,4,0,0,110.26,0
15000315,Cust00315,784,France,Male,20,0,103309.43,1,0,0,192.99,0
15000316,Cust00316,608,France,Female,37,5,83763.92,1,1,1,114.99,1
15000317,Cust00317,622,Spain,Female,39,0,109684.48,1,1,1,165.83,1
15000318,Cust00318,817,Germany,Female,42,2,0.0,1,0,0,51.08,1
15000319,Cust00319,727,Spain,Female,24,5,33039.88,1,1,0,158.52,0
15000320,Cust00320,676,France,Male,31,3,34243.58,1,0,0,91.09,1
15000321,Cust00321,700,France,Female,28,0,208999.25,2,0,0,121.87,0
15000322,Cust00322,637,France,Female,29,9,64512.17,4,0,0,174.07,1
15000323,Cust00323,502,Germany,Female,38,4,66885.88,1,0,1,125.74,0
15000324,Cust00324,850,Spain,Male,40,2,70526.51,3,1,0,84.88,0
15000325,Cust00325,743,Spain,Female,29,1,177625.24,1,0,1,91.93,0
15000326,Cust00326,806,Spain,Female,50,2,111276.95,2,0,1,198.35,1
15000327,Cust00327,544,France,Male,33,5,63378.02,2,1,1,27.19,1
15000328,Cust00328,576,France,Female,30,7,78113.18,1,1,1,78.09,0
15000329,Cust00329,694,Spain,Female,40,1,0.0,2,1,0,177.33,0
15000330,Cust00330,533,France,Male,61,6,152115.48,2,0,1,72.3,0
15000331,Cust00331,659,France,Male,56,4,101979.18,1,1,0,98.92,1
15000332,Cust00332,561,France,Female,30,8,109402.87,2,1,0,191.99,1
15000333,Cust00333,802,France,Male,39,9,0.0,2,1,1,29.27,1
15000334,Cust00334,708,France,Male,34,8,143661.23,3,0,0,76.69,0
15000335,Cust00335,657,France,Female,25,4,56382.68,1,0,0,198.58,1
15000336,Cust00336,687,France,Female,46,7,219798.43,2,1,1,170.14,0
15000337,Cust00337,698,Spain,Female,40,9,56834.78,2,1,0,35.14,1
15000338,Cust00338,522,France,Female,44,5,27268.65,2,1,1,144.95,0
15000339,Cust00339,850,France,Male,18,4,107495.46,1,0,1,86.03,0
15000340,Cust00340,730,Germany,Female,25,4,75623.6,2,1,0,108.46,1
15000341,Cust00341,704,France,Female,38,5,69868.84,1,0,0,82.94,0
15000342,Cust00342,577,Spain,Female,44,3,65152.5,1,1,0,68.58,0
15000343,Cust00343,654,Germany,Female,43,10,20294.99,2,1,0,76.41,1
15000344,Cust00344,728,France,Female,39,6,74448.33,1,1,1,166.45,0
15000345,Cust00345,407,Germany,Female,53,8,110584.24,1,1,0,44.04,1
15000346,Cust00346,632,France,Female,38,2,38210.24,2,0,1,38.66,0
15000347,Cust00347,476,France,Female,38,1,108840.95,1,1,0,193.54,0
15000348,Cust00348,636,Spain,Male,30,7,17761.21,1,1,0,106.66,0
15000349,Cust00349,557,France,Male,24,4,113195.58,1,0,0,128.1,0
15000350,Cust00350,793,Spain,Female,42,4,62766.54,1,0,1,22.6,0
15000351,Cust00351,595,France,Female,39,5,55100.67,1,0,0,196.92,1
15000352,Cust00352,620,France,Male,33,10,37969.03,2,0,0,33.94,0
15000353,Cust00353,502,France,Female,33,7,86565.81,1,1,0,107.28,1
15000354,Cust00354,739,Spain,Female,48,0,0.0,2,0,1,128.92,0
15000355,Cust00355,765,France,Male,22,3,62064.55,1,0,0,80.51,0
